"subject" "activity" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.correlation...X.Z" "tBodyAcc.correlation...Y.Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.correlation...X.Z" "tGravityAcc.correlation...Y.Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.correlation...X.Z" "tBodyAccJerk.correlation...Y.Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.correlation...X.Z" "tBodyGyro.correlation...Y.Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.correlation...X.Z" "tBodyGyroJerk.correlation...Y.Z" "tBodyAccMag.arCoeff..3" "tBodyAccMag.arCoeff..4" "tGravityAccMag.arCoeff..3" "tGravityAccMag.arCoeff..4" "tBodyAccJerkMag.arCoeff..3" "tBodyAccJerkMag.arCoeff..4" "tBodyGyroMag.arCoeff..3" "tBodyGyroMag.arCoeff..4" "tBodyGyroJerkMag.arCoeff..3" "tBodyGyroJerkMag.arCoeff..4" "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.bandsEnergy...1.24.2" "fBodyAcc.bandsEnergy...25.48.2" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.bandsEnergy...1.24.2" "fBodyAccJerk.bandsEnergy...25.48.2" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.bandsEnergy...1.24.2" "fBodyGyro.bandsEnergy...25.48.2" "fBodyAccMag.skewness.." "fBodyAccMag.kurtosis.." "fBodyBodyAccJerkMag.skewness.." "fBodyBodyAccJerkMag.kurtosis.." "fBodyBodyGyroMag.skewness.." "fBodyBodyGyroMag.kurtosis.."
1 "1" 0.239023123757282 -0.0319923745871845 -0.10502120184466 -0.633032512524272 -0.0956086238394175 0.071825170392233 0.338869109281553 0.156149129737864 0.177616797893204 -0.927465566990291 -0.229755313291262 -0.19310759961165 0.0915250620961165 0.0118901408178641 -0.0181854666237864 -0.69521195776699 -0.0161968992961165 0.150326252954369 0.0179753633796117 -0.116808902952427 0.102209007496116 -0.704420989621359 -0.0647911084873786 0.0233049580436893 -0.11496974916699 -0.0418421313825243 -0.0568958383647573 -0.76227292223301 -0.174176717756311 -0.169991583245631 -0.0535946507378641 0.0377888297621359 -0.0535946507378641 0.0377888297621359 -0.217295103945631 -0.0266123857747573 -0.0298868840902913 -0.00835089997475728 -0.0917837573373786 -0.138085073386408 -0.663922399805825 -0.519175014194175 -0.651464835145631 -0.622384133300971 -0.715626413592233 -0.987781273398058 -0.71152507 -0.660540714854369 -0.812943553106796 -0.705719493203883 -0.956503787281553 -0.988744433203883 -0.666222108051456 -0.626618728349515 -0.674813479029126 -0.719486646116505 -0.928977389320388 -0.984161276213592 -0.276204805842718 -0.553552813303884 -0.376020478942718 -0.680475900533981 -0.123741700007767 -0.445398162603883
1 "2" 0.272004138415493 -0.0120630442234507 -0.108962298612676 -0.513275267464789 -0.194527064832394 0.293502976697887 0.900895570492958 -0.121115015239437 0.0643400137323944 -0.973911280915493 -0.191466560653521 0.287932679630986 0.0751805183309859 0.0187095252112676 -0.0039034142771831 -0.402505110291549 -0.189319866957746 0.333670744258451 -0.0429957337399296 -0.0769421807894366 0.0776586799992958 -0.640245080774648 0.00830911965 -0.00518792507323944 -0.0912161790084507 -0.0399649853795775 -0.046320153321831 -0.467017331211268 -0.184888128030986 -0.0469262276435915 0.109973996312324 -0.00210253815507042 0.109973996312324 -0.00210253815507042 -0.160688998246549 0.116634737480775 0.166041624169718 -0.164364253124437 -0.078201394495493 -0.126008340983099 -0.459919699443662 -0.252459611702817 -0.539295077323944 -0.536684345633803 -0.81186374556338 -0.944618242323944 -0.440648040085986 -0.348455350286908 -0.640136772394366 -0.416217593950704 -0.87544033443662 -0.948128822042254 -0.549913010816901 -0.391937028671127 -0.48610014028169 -0.669346710211268 -0.857064540915493 -0.945954122746479 -0.491099334401408 -0.759961400549296 -0.229043127043732 -0.568243389527465 -0.167718265921831 -0.455972543675352
1 "3" 0.283851588627451 -0.0131499902098039 -0.109143526416667 -0.502975913734598 -0.11117294882549 0.186166627514706 0.937630417156863 -0.269922056078431 -0.0228321285098039 -0.973008519411765 -0.071262661254902 0.292807984147059 0.0651820900196078 0.0183880955117647 -0.00718573435192157 -0.522705391242157 -0.0908271496764706 0.094417627172549 -0.0293155026366667 -0.0745487454313725 0.0821431911661765 -0.732986958568628 -0.0944346931656863 -0.373496309590196 -0.0872871496248039 -0.0440279548186275 -0.0384278252235294 -0.749906180784314 -0.135506551727451 -0.239337281570588 0.19169781906902 -0.202580872407647 0.19169781906902 -0.202580872407647 -0.0366690555019608 -0.0132847833147059 0.288552934918627 -0.161224743245098 -0.0267230120960784 -0.120981872344118 -0.498774671133333 -0.506949112216078 -0.620332307284314 -0.505855795805882 -0.864259158333333 -0.908811952352941 -0.530107468362745 -0.573841981027451 -0.653316341666667 -0.558519374268333 -0.868900674215686 -0.914237603235294 -0.681848348988235 -0.540643005205882 -0.524927229830392 -0.751108329794118 -0.818056734117647 -0.944217569411765 -0.465721601892157 -0.726018269607843 -0.389678822421569 -0.691818732490196 -0.341842702180392 -0.637941959205882
2 "1" 0.264269097177083 -0.0197854264814583 -0.12987975496875 -0.639217935625 -0.3057096299 -0.0334595118314583 0.140481590208333 0.168160874479167 0.225473320345833 -0.946711090625 -0.0525507313541667 -0.366196295833333 0.0785240175619792 0.00127246665427083 0.008839395146875 -0.630997027614583 0.00492171925239583 0.157718972546875 -0.0380839351041667 -0.0719445671614583 0.106860124135417 -0.7137641459375 0.255541654764583 0.0951759271666667 -0.0924299671708333 -0.0391321942270833 -0.0573470251229167 -0.729045106145833 0.0994538063197917 -0.192656211175 0.132020450198958 -0.147739262957927 0.132020450198958 -0.147739262957927 -0.144890937245833 0.076574826009375 0.218448555853125 -0.1687597616875 0.0451686380892708 7.56953229166599e-06 -0.62172299653125 -0.484938209549063 -0.632691484038542 -0.646914448229167 -0.789817055520833 -0.974314526666667 -0.62222653528125 -0.585305191064583 -0.754462598958333 -0.676332848645833 -0.922418267291667 -0.975721724583333 -0.659037359979167 -0.7357038796875 -0.60563650475 -0.732609765729167 -0.813128063572917 -0.942709994479167 -0.424922754759687 -0.695145644322917 -0.38872118967875 -0.698790445427083 -0.216790345047917 -0.52835976371875
2 "2" 0.276716064571429 -0.0173214093948571 -0.1071291586 -0.670369069809524 -0.131584561877143 0.319459104225619 0.925047402190476 -0.241036185113752 0.134669804790476 -0.975889351238095 -0.348791785428571 0.199017806895238 0.0663854503719048 0.0153780719989524 0.00776834737752381 -0.588808253186667 0.051736625072381 0.149188385971429 -0.0497159388795238 -0.0533597612990476 0.0646063091619048 -0.747386651142857 0.139274798678095 -0.266678991913333 -0.0870307422 -0.0484546293666667 -0.0480290997257143 -0.652476715428571 0.120860176895238 -0.242063669790476 0.00927557591428571 0.0501559611695238 0.00927557591428571 0.0501559611695238 -0.286804184024762 0.189709395980952 0.06284468084 -0.0266657266695238 -0.164105968619048 0.0525726384054286 -0.626322077809524 -0.431716045139048 -0.680019388190476 -0.689715121714286 -0.903765992285714 -0.971987124476191 -0.603936652952381 -0.472338164438095 -0.743413163619048 -0.610091330295238 -0.921806248190476 -0.973674624952381 -0.671939833809524 -0.741982829619048 -0.643375394 -0.771736373333333 -0.927889541142857 -0.940365774666667 -0.425060357425238 -0.698009793247619 -0.250429704251429 -0.573911111142857 -0.379692814908571 -0.653683076838095
2 "3" 0.277773671871287 -0.0203941703287129 -0.110982863752475 -0.50627176229802 -0.0798058411712871 0.281373509455446 0.880596196534653 -0.349455944158416 0.0489461677346535 -0.965129078316832 0.190772924554455 0.348056703213861 0.0911771025620792 0.00399638431277228 -0.0142180065616832 -0.456018999087129 0.0590933857757426 0.158713482578713 -0.0667138070678218 -0.0461072896831683 0.0921808730118812 -0.669495245746535 0.14318509100198 -0.31899585709901 -0.0834775987029703 -0.0421977792217822 -0.0622712210722772 -0.63711588009901 0.11358242269703 -0.280714810147525 0.135398540070297 -0.0824193528128713 0.135398540070297 -0.0824193528128713 -0.0228993866664356 -0.0640092517980198 0.158747180544554 -0.0411505369653465 0.0562486302905941 -0.0764167644712871 -0.473560291234653 -0.383671828683168 -0.575684265881188 -0.521308239966337 -0.802850277425743 -0.938988649207921 -0.460206762761386 -0.474298432615842 -0.650181169326733 -0.502320316270297 -0.844661094950495 -0.939087345148515 -0.584866085733663 -0.688406554336634 -0.554318176728713 -0.697850321039604 -0.887026582475248 -0.888092504950495 -0.386642923148515 -0.663524167118812 -0.204525407616337 -0.512686949444356 -0.310194890159406 -0.630171911524752
3 "1" 0.268350556867769 -0.0255165090047934 -0.105574021059504 -0.656251524380165 -0.246555665081818 -0.0398531428413223 0.306937579256198 0.242212992644628 0.170957885289256 -0.963753424049587 -0.0704362662752066 -0.364798037347107 0.060259725607438 0.0264431815368595 0.00792003828677273 -0.726099420826446 -0.0270715958735537 0.113570786356364 0.0245374088838843 -0.104727217529752 0.0812234264570248 -0.721720273710744 -0.0655051369727273 0.00790881167024793 -0.107585806016529 -0.0394940723710744 -0.0595104718876033 -0.749664055454546 -0.00459845594452893 -0.106903370880165 0.0759762405801653 -0.141278787418182 0.0759762405801653 -0.141278787418182 -0.158060518868595 0.030604882353719 0.11023219091157 -0.0972621812983471 -0.0621920337256198 -0.144634608019835 -0.693632365595041 -0.530928053423141 -0.742163388099174 -0.643169408421488 -0.897002050991736 -0.98909518338843 -0.735697872809917 -0.634753812816446 -0.831959858347107 -0.740941704628099 -0.963130551983471 -0.989758359752066 -0.681530202677686 -0.811921465206612 -0.703503304958678 -0.736492540330579 -0.935209284297521 -0.984014649256198 -0.436529852595041 -0.698819951664463 -0.310482508247934 -0.607055680069421 -0.291879073612397 -0.608008881528926
3 "2" 0.266883526863636 -0.0107128128552727 -0.105906852063636 -0.64902924 -0.250796022781818 0.376918855190909 0.919768530090909 -0.0779584821746364 -0.0071016905 -0.968105673727273 -0.0273500447818182 0.259592037038182 0.0772839808766364 0.00659223420727273 -0.00496595108409091 -0.602324760409091 -0.0984945632172727 0.14002036773 -0.0317368107418182 -0.076650978 0.0873346467378182 -0.757918567727273 0.00163287024454546 -0.254642220915455 -0.0991946871645455 -0.0375127669581818 -0.0544489928318182 -0.663236111818182 0.0650189859327273 -0.107074394145455 0.0654245936154546 -0.0268850321545455 0.0654245936154546 -0.0268850321545455 0.0274549822245455 0.0326172837436364 0.0313079725154545 -0.0402838716745455 -0.142033595904909 -0.0654156663218182 -0.625560396436364 -0.464497675627273 -0.651391531272727 -0.659286899909091 -0.8828633786 -0.973876416454545 -0.621542696072727 -0.525148600936364 -0.730035778363636 -0.617903168454545 -0.896710417454545 -0.976024550272727 -0.683524431454545 -0.748086799909091 -0.662451404272727 -0.781942897454545 -0.923736630181818 -0.982640660636364 -0.341262024869091 -0.628336362236364 -0.133020825080909 -0.440504243654545 -0.221553317282727 -0.518998751199091
3 "3" 0.285559891454545 -0.0165728361328182 -0.108088885301109 -0.561676249527273 -0.179270531178182 0.152207012614545 0.936824628090909 -0.269258858636364 -0.0318612330190909 -0.967784013272727 0.0197617888090909 0.188828119736364 0.0739670121717273 0.00916620811090909 -0.00537922953727273 -0.568968409609091 -0.0290941092400909 -0.000771713818090908 -0.0722864507072727 -0.0386543283345455 0.0920509882663636 -0.615901937879091 -0.0202709214386364 -0.157159402545455 -0.0898428552036364 -0.0436401759790909 -0.0416547499845455 -0.649051555863636 0.0201569329563636 -0.107111779135545 0.0265359112341818 -0.0129927464272727 0.0265359112341818 -0.0129927464272727 -0.0599487570155455 -0.0536402164854545 0.05844839795 -0.0186147632555455 -0.0624515025996364 -0.151110373679036 -0.551217200017273 -0.506999274973636 -0.701164910454545 -0.567022297945455 -0.898927314272727 -0.975116003363636 -0.571459483390909 -0.583766954354546 -0.773123474454545 -0.606377529687273 -0.935207291 -0.974966290090909 -0.557295276913636 -0.761749042090909 -0.642972558161818 -0.637672838559091 -0.928181672363636 -0.963335044181818 -0.403453559727273 -0.686450511027273 -0.308814349036364 -0.633241917554546 -0.274835513827273 -0.602574511156755
4 "1" 0.267148923009434 -0.0233316441461698 -0.112420488716981 -0.586631888028302 -0.132870676820755 -0.0704031806787736 0.249904269716981 0.351941620660377 0.215277384537736 -0.939495758584906 -0.483276367160377 -0.00890947465566038 0.0751256859066038 0.0150121499994623 -0.00159644624924528 -0.685035166037736 0.270953309053774 -0.0230225723887925 0.0146168547830189 -0.089546650290566 0.127853035911321 -0.718659858962264 0.376576325657509 -0.0697816372225472 -0.117996425496226 -0.03857820985 -0.0717228727660377 -0.758549498396226 0.267570504479245 -0.112967321324528 0.0529719186654717 -0.0647213485273585 0.0529719186654717 -0.0647213485273585 -0.0383663288179245 -0.0574250316632075 -0.0534044276919811 0.100530559518868 -0.0300143445129245 -0.192869014337736 -0.632912285367925 -0.535748854883019 -0.750257817358491 -0.570192443290094 -0.898182770660377 -0.985046312830189 -0.703708814716981 -0.626983481572264 -0.835436418584906 -0.693923926509434 -0.972005427075472 -0.986033856698113 -0.674760277169811 -0.830964847075472 -0.661883948207547 -0.733958943301887 -0.899312501603774 -0.960340720660377 -0.256134081518962 -0.547029238349057 -0.373265505320755 -0.682070865056604 -0.18397208304717 -0.526458415084906
